data,hora,taxa
2025/03/20,22:45:44,12.7769
2025/03/20,22:45:48,12.6507
2025/03/20,22:45:49,13.5123
2025/03/20,22:45:52,13.3403
2025/03/20,22:45:54,12.9933
2025/03/20,22:45:55,13.4332
2025/03/20,22:45:57,13.5900
2025/03/20,22:45:59,13.2801
2025/03/20,22:46:02,13.3777
2025/03/20,22:46:05,13.2189
2025/03/20,22:48:36,13.03420792253751
2025/03/20,22:48:38,13.344199092881686
2025/03/20,22:48:40,13.29469185507738
2025/03/20,22:48:42,13.60878654682698
2025/03/20,22:48:42,13.237566491885556
2025/03/20,22:48:44,13.645605139191082
2025/03/20,22:48:46,12.667860951233521
2025/03/20,22:48:48,12.814147897211496
2025/03/20,22:48:51,12.65396735965428
2025/03/20,22:48:54,13.294096950502638
